,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-4.54783443844908e-06,2.2187126801462223e-06,-7.347503261702911e-05,5.08792328779156e-07,5.833322396808852e-07,2.1121544194845055e-07,7.44979673782404e-05,2.8469866830715855e-09,0.0
1,-4.620042977137e-06,2.200330021434099e-06,-7.520466759246318e-05,8.041839600869961e-07,1.083507955359827e-06,7.238087406104885e-07,7.500716681733799e-05,5.713074770768643e-09,0.0
2,-4.720660298699551e-06,2.19642431628062e-06,-7.692565005379459e-05,9.938124163917638e-07,1.5160832366626766e-06,1.4176073119385457e-06,7.551378497267782e-05,8.598098542711491e-09,0.0
3,-4.841837474613014e-06,2.202758588839442e-06,-7.86479003780661e-05,1.1294897282582254e-06,1.89313695419015e-06,2.2320917599787585e-06,7.602075881496772e-05,1.1502006444810314e-08,0.0
4,-4.979294884735334e-06,2.2169703856727603e-06,-8.037848615954082e-05,1.2351043001340974e-06,2.2241937620993183e-06,3.136907102509507e-06,7.653018064423975e-05,1.4424849620713559e-08,0.0
5,-5.130372225771987e-06,2.237559300942123e-06,-8.21228119466119e-05,1.322809497733715e-06,2.5169833253945545e-06,4.114814954589447e-06,7.704365034072728e-05,1.736675299676087e-08,0.0
6,-5.2932420137399996e-06,2.2634685988967845e-06,-8.388541692997713e-05,1.3994119843127844e-06,2.7779828492409515e-06,5.154956075421472e-06,7.75625115416028e-05,2.0327894242322002e-08,0.0
7,-5.466599772308589e-06,2.29392220016595e-06,-8.567023231962389e-05,1.4687858974396787e-06,3.012648497660172e-06,6.250239155356449e-06,7.808792784467465e-05,2.3308496635592515e-08,0.0
8,-5.649518285149248e-06,2.328351029492291e-06,-8.748060605587177e-05,1.5329738923374869e-06,3.2254890423555816e-06,7.396111423526915e-06,7.862089012542938e-05,2.6308827879347815e-08,0.0
9,-5.8412586381340146e-06,2.3662952685382707e-06,-8.931940655834816e-05,1.5934072441786853e-06,3.420297231564946e-06,8.589089000081556e-06,7.91622472609315e-05,2.9329191187212366e-08,0.0
10,-6.041320935812668e-06,2.4074238133418035e-06,-9.11892100406791e-05,1.650567433878654e-06,3.6002078892577233e-06,9.827200330428565e-06,7.971276158856794e-05,3.236992101709676e-08,0.0
11,-6.24923927473179e-06,2.451426704190391e-06,-9.309246103329899e-05,1.7053612192570286e-06,3.7679505132951136e-06,1.1108374059456364e-05,8.027315643638103e-05,3.543137545084899e-08,0.0
12,-6.464634204986965e-06,2.4980507902367354e-06,-9.50311729155412e-05,1.758493111217396e-06,3.925776137741983e-06,1.243094567917976e-05,8.084402745259841e-05,3.8513949553884734e-08,0.0
13,-6.687219008739195e-06,2.54709070669915e-06,-9.700731398826e-05,1.8104785715713849e-06,4.075632655066726e-06,1.3793756086225968e-05,8.142595692866471e-05,4.161804877124335e-08,0.0
14,-6.916776184080218e-06,2.598380840552384e-06,-9.902268926682583e-05,1.8617503092639632e-06,4.21914492358138e-06,1.519596648433881e-05,8.201947878928224e-05,4.4744103887268226e-08,0.0
15,-7.1531506048437544e-06,2.6517882440710676e-06,-0.00010107905686619014,1.9125865789014115e-06,4.357737869962746e-06,1.663708915899278e-05,8.262511305386461e-05,4.7892565241275265e-08,0.0
16,-7.396227490229551e-06,2.7072031375071342e-06,-0.00010317807981775784,1.963237051837524e-06,4.492638934504919e-06,1.8116812709432867e-05,8.324335157353697e-05,5.1063901167981494e-08,0.0
17,-7.645963908291278e-06,2.7645553638977627e-06,-0.00010532130375131719,2.0138181041763532e-06,4.624790384311536e-06,1.963519378530385e-05,8.387465142073057e-05,5.4258601188418513e-08,0.0
18,-7.902299257539098e-06,2.8237678831698615e-06,-0.00010751021234225475,2.064575636321076e-06,4.755110549974534e-06,2.119212905005701e-05,8.451945131121774e-05,5.747716905362458e-08,0.0
19,-8.165267327621606e-06,2.8848137119682435e-06,-0.00010974619844072608,2.1155507238222934e-06,4.884190997643025e-06,2.278802715521625e-05,8.517816304968469e-05,6.072013001318641e-08,0.0
20,-8.434853763897171e-06,2.947637668651249e-06,-0.00011203078587624222,2.1669948559916946e-06,5.012785401256126e-06,2.442299648883824e-05,8.58512372109573e-05,6.398801444478816e-08,0.0
21,-8.711125900112821e-06,3.0122313554583364e-06,-0.0001143653099279589,2.218985722647828e-06,5.141304224665099e-06,2.6097564623682743e-05,8.65390685236548e-05,6.728137796290972e-08,0.0
22,-8.994117812054333e-06,3.0785689654867716e-06,-0.00011675113063959405,2.2716445362473944e-06,5.270282675497818e-06,2.7812092451290425e-05,8.724205903006029e-05,7.060079306570302e-08,0.0
23,-9.283914159438014e-06,3.146651538307337e-06,-0.00011918955870759714,2.325067020250723e-06,5.400040849174946e-06,2.9567170464751625e-05,8.796059614791135e-05,7.394684663919503e-08,0.0
24,-9.580590271514524e-06,3.216472373622682e-06,-0.0001216820024286423,2.3793417878936633e-06,5.530991402574898e-06,3.136337082224109e-05,8.869509618041256e-05,7.732013341195334e-08,0.0
25,-9.88424963584054e-06,3.2880416544191786e-06,-0.00012422978108410322,2.4345427658966815e-06,5.6633945737051375e-06,3.320138140087382e-05,8.944594905600305e-05,8.072126904589298e-08,0.0
26,-1.0194996595066785e-05,3.3613671942307914e-06,-0.0001268343027422209,2.4907407877961834e-06,5.797556145297256e-06,3.508191335357278e-05,9.021357097166663e-05,8.415088472404522e-08,0.0
27,-1.0512955255471438e-05,3.4364679366697225e-06,-0.00012949693584527394,2.547990198962127e-06,5.933690047691507e-06,3.700576691369933e-05,9.099836637819329e-05,8.7609625529392e-08,0.0
28,-1.0838250238016842e-05,3.513361539965692e-06,-0.00013221909780664873,2.6063552581536393e-06,6.0720296979731054e-06,3.897374918904499e-05,9.180075420617929e-05,9.109815334883559e-08,0.0
29,-1.1171023295613277e-05,3.5920743572767197e-06,-0.00013500220194505327,2.6658818513673324e-06,6.2127469902487975e-06,4.0986752738891615e-05,9.262115215794066e-05,9.461714494142012e-08,0.0
30,-1.1511416002998244e-05,3.672631688940473e-06,-0.0001378476921707579,2.726624977893177e-06,6.356026602642736e-06,4.3045670636118794e-05,9.345998697431016e-05,9.816729385081013e-08,0.0
31,-1.1859583173598645e-05,3.7550651330643443e-06,-0.0001407570226008651,2.78862933203573e-06,6.502010991770249e-06,4.515146260741737e-05,9.43176884012957e-05,1.0174930888035144e-07,0.0
32,-1.2215677763233719e-05,3.8394038666005085e-06,-0.00014373169472435063,2.8519450974500423e-06,6.6508727409297575e-06,4.730508667591194e-05,9.519470018780105e-05,1.0536391889102381e-07,0.0
33,-1.2579864491947421e-05,3.9256827497338875e-06,-0.00014677321634209295,2.9166160672755518e-06,6.802744138383431e-06,4.950755807591265e-05,9.609146793563269e-05,1.090118671021687e-07,0.0
34,-1.2952316751719698e-05,4.013940469340374e-06,-0.00014988311142006928,2.9826821732782654e-06,6.957733527289898e-06,5.175993607433559e-05,9.70084420150622e-05,1.1269391248267357e-07,0.0
35,-1.333321649925579e-05,4.1042194750022735e-06,-0.00015306292041879,3.050179577405465e-06,7.1159258642484624e-06,5.4063323509326885e-05,9.794607766226536e-05,1.1641082979733919e-07,0.0
36,-1.372273543525049e-05,4.196553873877669e-06,-0.00015631428583563224,3.1191588421101216e-06,7.277494599799045e-06,5.641879024179598e-05,9.890486029217615e-05,1.2016342112377248e-07,0.0
37,-1.412105583882325e-05,4.290982738600039e-06,-0.00015963886044311694,3.1896650386901135e-06,7.442579291256191e-06,5.8827458364784074e-05,9.988527834514135e-05,1.2395250346841115e-07,0.0
38,-1.4528382435539627e-05,4.387557674349698e-06,-0.00016303825544908363,3.2617264490007553e-06,7.61121610173537e-06,6.129055081083683e-05,0.00010088780794693484,1.277789017657589e-07,0.0
39,-1.4944921717007046e-05,4.486329546492695e-06,-0.00016651413357491118,3.3353744616023318e-06,7.783460278110944e-06,6.380930709274397e-05,0.00010191294045154883,1.3164346141942373e-07,0.0
40,-1.53708758692945e-05,4.587344171696743e-06,-0.0001700682494684478,3.410653087289004e-06,7.959427379070365e-06,6.638495924621419e-05,0.00010296119440101442,1.3554705245760541e-07,0.0
41,-1.580643268189161e-05,4.690635521848894e-06,-0.0001737025052736084,3.4876315256708676e-06,8.139357122886559e-06,6.901869123916347e-05,0.00010403313196991357,1.3949057601667327e-07,0.0
42,-1.6251824022935428e-05,4.7962647765807786e-06,-0.0001774186390664654,3.566332928164161e-06,8.323248247804562e-06,7.171187544414523e-05,0.00010512926676497373,1.4347492773239906e-07,0.0
43,-1.6707273795958447e-05,4.9042854747579135e-06,-0.00018121850505517558,3.64679823966984e-06,8.511184835367718e-06,7.44658625267857e-05,0.0001062501467439635,1.4750103058933873e-07,0.0
44,-1.7173010728317767e-05,5.014752434269987e-06,-0.00018510399340819185,3.7290676175271918e-06,8.70325143282664e-06,7.728203233584141e-05,0.00010739633048659133,1.5156982945305663e-07,0.0
45,-1.764924541850346e-05,5.127711600519817e-06,-0.00018907698819867232,3.813168667357099e-06,8.899607185717777e-06,8.016168912867183e-05,0.00010856837469872963,1.5568233617965715e-07,0.0
46,-1.8136222148171807e-05,5.243222911602737e-06,-0.00019313946393262528,3.899142936348349e-06,9.100319377763898e-06,8.310629843592673e-05,0.00010976686289027909,1.598395288762973e-07,0.0
47,-1.863417964396007e-05,5.361342954993388e-06,-0.00019729341330656117,3.987025815744343e-06,9.305489970126326e-06,8.611730787006283e-05,0.00011099238391081457,1.6404242877977758e-07,0.0
48,-1.9143360997257287e-05,5.482129332772314e-06,-0.00020154086608422254,4.076851597678167e-06,9.515223950490027e-06,8.919619256233084e-05,0.00011224553755696909,1.68292081239383e-07,0.0
49,-1.966402088568056e-05,5.605640954973861e-06,-0.00020588399440338835,4.168692950537139e-06,9.729638418167675e-06,9.234448766183638e-05,0.00011352696576604261,1.7258953751126408e-07,0.0
50,-2.019641299884391e-05,5.731937351977502e-06,-0.00021032493502555854,4.262593803190791e-06,9.948849004695777e-06,9.556373201591248e-05,0.00011483729996145987,1.7693588716604086e-07,0.0
51,-2.074079586229757e-05,5.861078898602708e-06,-0.00021486587465949512,4.358601295223826e-06,1.0172977358868938e-05,9.885549439875933e-05,0.0001161771863268813,1.813322434565913e-07,0.0
52,-2.129743374636622e-05,5.9931267946396935e-06,-0.00021950906500416015,4.456771261545041e-06,1.0402153004379743e-05,0.00010222137768718553,0.00011754729026152387,1.8577974125249814e-07,0.0
53,-2.186660595805856e-05,6.128148018450727e-06,-0.0002242568129826561,4.557148786719232e-06,1.063648039658591e-05,0.00010566306871307021,0.00011894829347766987,1.9027954821866334e-07,0.0
54,-2.2448598754518608e-05,6.26621128572429e-06,-0.00022911148067772687,4.659780231127017e-06,1.0876065317265532e-05,0.00010918229575187232,0.0001203808939877159,1.948328585404131e-07,0.0
55,-2.304369451991164e-05,6.407381657335701e-06,-0.00023407548471529688,4.764729205740973e-06,1.1121049975045722e-05,0.0001127807715826031,0.0001218458059300844,1.9944088439865195e-07,0.0
56,-2.3652187306269856e-05,6.551728161662443e-06,-0.00023915130096576243,4.872054506110502e-06,1.1371564235752793e-05,0.00011646027555167701,0.00012334376094770886,2.0410486912064054e-07,0.0
57,-2.4274379191696646e-05,6.699322204202267e-06,-0.0002443414572263968,4.981811139435105e-06,1.1627735676277527e-05,0.0001202226352894437,0.00012487550602436183,2.0882608437297622e-07,0.0
58,-2.4910582268064524e-05,6.850238941369432e-06,-0.0002496485211601988,5.094039920701765e-06,1.188968014184479e-05,0.000124069738680322,0.000126441799912177,2.1360583184836857e-07,0.0
59,-2.55611123520218e-05,7.004552549101016e-06,-0.0002550751506700175,5.208805082463555e-06,1.215753594693723e-05,0.00012800349595576684,0.00012804342804815554,2.1844543961507914e-07,0.0
60,-2.62262947081179e-05,7.162340352040035e-06,-0.00026062405365918294,5.326162201534893e-06,1.2431434735361305e-05,0.0001320258741749158,0.00012968119063723612,2.2334626621265252e-07,0.0
61,-2.6906462553365517e-05,7.3236817166436875e-06,-0.0002662979994328772,5.446166843662657e-06,1.2711509444853408e-05,0.0001361388882529873,0.00013135590602769722,2.2830970039842104e-07,0.0
62,-2.7601946928127905e-05,7.488654528829834e-06,-0.00027209976974250816,5.5688816544389874e-06,1.2997904987426204e-05,0.0001403445421208767,0.00013306839621009579,2.3333716896850549e-07,0.0
63,-2.8313098479080496e-05,7.657342751566598e-06,-0.00027803226461607796,5.694361084122265e-06,1.3290755588017479e-05,0.00014464495538705035,0.00013481951816224187,2.384301221599112e-07,0.0
64,-2.9040271657010285e-05,7.829830932809508e-06,-0.0002840984258858655,5.822662454641443e-06,1.3590201392073201e-05,0.00014904227151994485,0.00013661014119794977,2.4359004545702624e-07,0.0
65,-2.978382887007307e-05,8.006205642017916e-06,-0.0002903012575078497,5.953843040492687e-06,1.389638422369108e-05,0.00015353868202982738,0.0001384411529845147,2.4881845737907487e-07,0.0
66,-3.0544136881871605e-05,8.186553088206752e-06,-0.0002966438440042518,6.087977683677797e-06,1.4209463455992793e-05,0.00015813640474653226,0.00014031346499775797,2.5411691395582165e-07,0.0
67,-3.132157261241951e-05,8.37096284906573e-06,-0.00030312932415922314,6.2251316460698715e-06,1.4529591694708088e-05,0.00016283771883837637,0.00014222800473995996,2.594870034626068e-07,0.0
68,-3.211652151293724e-05,8.559526773707737e-06,-0.0003097609000544916,6.3653688141573785e-06,1.4856922200295393e-05,0.00016764495501829,0.00014418571841212999,2.649303488484074e-07,0.0
69,-3.292937621883013e-05,8.75233806621118e-06,-0.00031654184478117155,6.508758579516293e-06,1.5191615121142338e-05,0.00017256048742862357,0.00014618757319463256,2.704486098757581e-07,0.0
70,-3.3760540633849844e-05,8.949492513424545e-06,-0.00032347552828771765,6.655372498170809e-06,1.5533836682134486e-05,0.0001775867588457102,0.0001482345648952031,2.760434869243895e-07,0.0
71,-3.461042862737885e-05,9.151088170751713e-06,-0.0003305654066774517,6.80528448950586e-06,1.5883758537045367e-05,0.00018272627260623584,0.00015032771478122345,2.817167200682924e-07,0.0
72,-3.54794581264338e-05,9.357223984679686e-06,-0.0003378149721634471,6.958571183494297e-06,1.624155428515467e-05,0.0001879815559833973,0.0001524680547703848,2.874700827701465e-07,0.0
