,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-6.530770295513366e-06,3.1807716742093743e-06,-0.00010559472028113139,8.151367250022169e-07,9.307767841424269e-07,3.4055505415201444e-07,0.00010685355769181845,4.6926473202716916e-09,0.0
1,-6.647688712792079e-06,3.15572760360303e-06,-0.00010824545099226441,1.292392196861692e-06,1.7238000558151843e-06,1.1645471812804983e-06,0.00010754725783092324,9.414836572847836e-09,0.0
2,-6.810853610110978e-06,3.1541397114019232e-06,-0.00011088561229211011,1.6019442010981914e-06,2.4063055040143426e-06,2.2817683466996688e-06,0.00010823814183198493,1.4166307022038766e-08,0.0
3,-7.007902439641944e-06,3.169298913150027e-06,-0.00011353195901049703,1.82398731677413e-06,2.998983248590726e-06,3.5980205005890004e-06,0.00010893062444604206,1.894702499301031e-08,0.0
4,-7.231830093048222e-06,3.1973219167062164e-06,-0.00011619657729443,1.9974312828939885e-06,3.5180769810523065e-06,5.063929983999779e-06,0.0001096278900908302,2.375713199572422e-08,0.0
5,-7.4781699585062745e-06,3.235669264755151e-06,-0.0001188891856078186,2.143113147265082e-06,3.976936263885654e-06,6.650540802619504e-06,0.00011033249920262798,2.8596885171512576e-08,0.0
6,-7.744043365863137e-06,3.282650162841035e-06,-0.00012161776626541452,2.2716290241389433e-06,4.386457208322378e-06,8.341051938682837e-06,0.00011104655465148703,3.346664580543023e-08,0.0
7,-8.02744757052147e-06,3.337052415733398e-06,-0.00012438901161409887,2.3887683110352097e-06,4.755600843194818e-06,1.0124851429163376e-05,0.00011177181932302021,3.836686247333107e-08,0.0
8,-8.32694381300648e-06,3.3979783248549756e-06,-0.0001272085821870936,2.49771274256281e-06,5.09174069319632e-06,1.1995012028524118e-05,0.00011250978415003972,4.3298060922132166e-08,0.0
9,-8.641436431891105e-06,3.464716930593122e-06,-0.0001300816563251041,2.600645398171757e-06,5.4010893507432184e-06,1.394656730098616e-05,0.0001132618129566544,4.8260819846531824e-08,0.0
10,-8.970050959049035e-06,3.536687141522425e-06,-0.0001330128006102539,2.699335565495749e-06,5.6888347466923335e-06,1.597563002558903e-05,0.00011402910830608811,5.325578391530938e-08,0.0
11,-9.312106223372204e-06,3.613417757861024e-06,-0.00013600616123199521,2.795186325899761e-06,5.959335316815279e-06,1.80792824671728e-05,0.00011481276194549609,5.82836421224501e-08,0.0
12,-9.66710071700177e-06,3.6945369728732683e-06,-0.0001390655808595565,2.8891937809560356e-06,6.2162585428503235e-06,2.0255561551381846e-05,0.00011561378560029342,6.334512820337562e-08,0.0
13,-1.0034661235226388e-05,3.7797440448847828e-06,-0.00014219468269807445,2.982117584909734e-06,6.462751474798187e-06,2.250315668595333e-05,0.00011643313312517825,6.844101757656011e-08,0.0
14,-1.0414574571546995e-05,3.868827309930883e-06,-0.00014539680175917327,3.0743793515114274e-06,6.701324371197716e-06,2.482159077600351e-05,0.0001172716823932675,7.357212880922017e-08,0.0
15,-1.080665601541166e-05,3.96159383209031e-06,-0.00014867513083693864,3.1665431218472054e-06,6.934228019652962e-06,2.7210408795907693e-05,0.00011813027376516242,7.87393176896971e-08,0.0
16,-1.1210874430525453e-05,4.057934763997275e-06,-0.00015203263094672162,3.258841290353606e-06,7.163130400985812e-06,2.9669968954097395e-05,0.00011900968648913766,8.394347867534468e-08,0.0
17,-1.1627184937204093e-05,4.157733136876181e-06,-0.00015547230277265613,3.351753059421463e-06,7.3896600993674945e-06,3.220044564472506e-05,0.00011991071023866215,8.91855308078578e-08,0.0
18,-1.205563730948368e-05,4.260925098434042e-06,-0.00015899696321085454,3.4455478379162903e-06,7.6150661739794294e-06,3.4802508758369726e-05,0.00012083408621481571,9.446643682299217e-08,0.0
19,-1.2496304806976382e-05,4.367459410460238e-06,-0.00016260940149682063,3.540543444820032e-06,7.840466286191624e-06,3.747690167503944e-05,0.00012178054829514166,9.978719214403462e-08,0.0
20,-1.2949300159832201e-05,4.4773040648503235e-06,-0.00016631242289959436,3.6369743258056694e-06,8.066869655468607e-06,4.0224591641946e-05,0.00012275083455288427,1.0514881847165709e-07,0.0
21,-1.341478456847642e-05,4.590453765944844e-06,-0.000170108754046217,3.7350580495679007e-06,8.29505720471982e-06,4.304675491964636e-05,0.00012374566230148224,1.1055237333224882e-07,0.0
22,-1.389293936228226e-05,4.706910596121038e-06,-0.00017400120683946655,3.834974032267856e-06,8.525795559009189e-06,4.594469577940669e-05,0.0001247657712921469,1.159989427971112e-07,0.0
23,-1.4383983641279434e-05,4.826696781082948e-06,-0.0001779925532456895,3.936879440186122e-06,8.75968964354804e-06,4.89198906587954e-05,0.00012581189071713317,1.2148964622324797e-07,0.0
24,-1.4888155420759645e-05,4.949842361536986e-06,-0.00018208561737214076,4.040922070277439e-06,8.997302860878012e-06,5.1973916393062235e-05,0.0001268847634721927,1.2702563495300424e-07,0.0
25,-1.540571280076525e-05,5.0763867533099005e-06,-0.00018628324450466858,4.14724151216257e-06,9.239134614024255e-06,5.5108448335335824e-05,0.0001279851379977438,1.3260809285748148e-07,0.0
26,-1.5936936538144282e-05,5.206379814994426e-06,-0.0001905883080399104,4.255965225308694e-06,9.485615816769203e-06,5.8325275379320667e-05,0.00012911377010557036,1.3823823609131045e-07,0.0
27,-1.6482136830787056e-05,5.339885681648381e-06,-0.00019500369546765709,4.367196150120771e-06,9.73707997332178e-06,6.162633389500242e-05,0.00013027141928556043,1.4391731279035315e-07,0.0
28,-1.7041610991123176e-05,5.4769584235462455e-06,-0.00019953240925294744,4.481068564997573e-06,9.993961193557787e-06,6.50135101722965e-05,0.00013145887527880412,1.4964661086838702e-07,0.0
29,-1.7615704146159376e-05,5.617677016384088e-06,-0.000204177420172945,4.597669401408337e-06,1.0256508443012014e-05,6.84889225664695e-05,0.0001326769194453904,1.5542744644005372e-07,0.0
30,-1.820476780594476e-05,5.762121037780526e-06,-0.00020894178120561184,4.717092876179247e-06,1.0524987846100358e-05,7.205473131533332e-05,0.00013392635476455853,1.6126117160466706e-07,0.0
31,-1.8809149376382305e-05,5.910363451051585e-06,-0.00021382869014861594,4.839461515677661e-06,1.0799749378113036e-05,7.571309367197633e-05,0.000135208022333374,1.6714917480557043e-07,0.0
32,-1.9429229392669817e-05,6.062494268859714e-06,-0.00021884132940977615,4.9648616613834716e-06,1.1081019993618314e-05,7.946633084412085e-05,0.0001365227591570443,1.730928774192965e-07,0.0
33,-2.0065393986691865e-05,6.218602866546969e-06,-0.00022398299045464488,5.093391967875438e-06,1.1369059560674827e-05,8.331680537362047e-05,0.00013787143092993366,1.7909374268533702e-07,0.0
34,-2.0718040038468072e-05,6.378781189282253e-06,-0.00022925705376246932,5.225154363914121e-06,1.1664133478781888e-05,8.726694473919893e-05,0.0001392549267531413,1.8515327661886743e-07,0.0
35,-2.1387575087527743e-05,6.543123790619818e-06,-0.0002346669861953743,5.360250707633975e-06,1.1966513132158524e-05,9.131924218323522e-05,0.0001406741584513009,1.9127301795356532e-07,0.0
36,-2.207442674983085e-05,6.7117335363664385e-06,-0.0002402163094000422,5.498775110875569e-06,1.2276424491088895e-05,9.547629622684961e-05,0.00014213005223750102,1.974545471915161e-07,0.0
