,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-4.992229434958232e-06,2.4347822129755277e-06,-8.066068015766423e-05,5.69874650500939e-07,6.538287375986056e-07,2.393547385728573e-07,8.175180726928793e-05,3.2619836866013573e-09,0.0
1,-5.0740586525896795e-06,2.4151563266310734e-06,-8.25824797203857e-05,8.999336682307087e-07,1.212929799129557e-06,8.189904641022884e-07,8.230298261802597e-05,6.5454968557805635e-09,0.0
2,-5.1879661319808084e-06,2.4118502725288804e-06,-8.449536833680337e-05,1.1121700029614135e-06,1.6953559805753796e-06,1.6025430972979378e-06,8.285156476191337e-05,9.850353507205558e-09,0.0
3,-5.325174352480354e-06,2.4201202578044696e-06,-8.641061616977075e-05,1.2640089410944774e-06,2.115014123813111e-06,2.52266542049552e-06,8.340080527295392e-05,1.3176506089590371e-08,0.0
4,-5.480843051641209e-06,2.437294127809934e-06,-8.833622345367654e-05,1.3822154333556885e-06,2.4828430874875296e-06,3.5451776299835327e-06,8.395301220116838e-05,1.652402551267241e-08,0.0
5,-5.651939574050512e-06,2.4616604235598237e-06,-9.027838443420515e-05,1.4805859580595296e-06,2.807733430553265e-06,4.650478661179144e-06,8.45099724682163e-05,1.9893066687587266e-08,0.0
6,-5.836384714658519e-06,2.492013741306795e-06,-9.224236230074179e-05,1.5668185173279922e-06,3.0971579598934968e-06,5.826268635590713e-06,8.507320431800788e-05,2.328384327340161e-08,0.0
7,-6.032721151474936e-06,2.527484769055282e-06,-9.423262187145231e-05,1.64516950875189e-06,3.357309371335167e-06,7.064687148449303e-06,8.564399559831518e-05,2.6696627020423415e-08,0.0
8,-6.239930444603522e-06,2.567445498670797e-06,-9.625293394911428e-05,1.7177075921273123e-06,3.5932929970989575e-06,8.360852689572465e-06,8.622343387634424e-05,3.013173990403182e-08,0.0
9,-6.457233967308211e-06,2.611404542928777e-06,-9.830653875497202e-05,1.7857001537445798e-06,3.8093528571567963e-06,9.711272023467263e-06,8.681245359954114e-05,3.358954544167492e-08,0.0
10,-6.683992527459363e-06,2.6589441155150495e-06,-0.00010039655322760943,1.850340952919663e-06,4.009147733114056e-06,1.1113088900362923e-05,8.741195361706171e-05,3.707043609538228e-08,0.0
11,-6.919692638703343e-06,2.7097262943091246e-06,-0.00010252555429710508,1.9125241717481584e-06,4.195686800686362e-06,1.256405788441521e-05,8.802267693549901e-05,4.057484915054745e-08,0.0
12,-7.163931304108186e-06,2.7634735433064474e-06,-0.00010469595568351099,1.972992523612916e-06,4.371523894057951e-06,1.4062474331814607e-05,8.864531945151758e-05,4.4103243309666487e-08,0.0
13,-7.4163957051637796e-06,2.8199585800266877e-06,-0.00010691000716967737,2.0323549134461306e-06,4.538829401384628e-06,1.560707413920491e-05,8.928052973834127e-05,4.765610243751211e-08,0.0
14,-7.676861653370686e-06,2.8790016088127753e-06,-0.00010916985785107824,2.0910015421488714e-06,4.699470510577802e-06,1.719708461354124e-05,8.992892729198099e-05,5.123393738723218e-08,0.0
15,-7.945165068157112e-06,2.940456887363152e-06,-0.00011147752986532793,2.149255677707793e-06,4.855038804042799e-06,1.8832011326342498e-05,9.059109495658247e-05,5.483728144633357e-08,0.0
16,-8.221221159509622e-06,3.0042229506379763e-06,-0.00011383489831121734,2.2073045818640892e-06,5.006795783953734e-06,2.0511756332985232e-05,9.126757312827267e-05,5.8466693013270354e-08,0.0
17,-8.504951909105782e-06,3.0702048546253114e-06,-0.000116243738763218,2.265423351059104e-06,5.155881007781784e-06,2.223618523980523e-05,9.195887346905245e-05,6.21227499999252e-08,0.0
18,-8.796363259891216e-06,3.1383515107330244e-06,-0.00011870576728145783,2.323728000237717e-06,5.303143555517097e-06,2.400561097509697e-05,9.266549044738084e-05,6.58060523833967e-08,0.0
19,-9.095441398392707e-06,3.2086000466906097e-06,-0.00012122276041216276,2.3824976358013186e-06,5.449466868139532e-06,2.5820184078633653e-05,9.338793596922516e-05,6.951721206518169e-08,0.0
20,-9.40223850770712e-06,3.2809260772715455e-06,-0.0001237963204652505,2.4418494404442055e-06,5.595454555750694e-06,2.768040038753212e-05,9.412667164236928e-05,7.32568695897517e-08,0.0
21,-9.716797460509162e-06,3.3553007360966295e-06,-0.00012642804422419726,2.5019391594305888e-06,5.741726053844024e-06,2.958669259088002e-05,9.48821574594873e-05,7.702568496786672e-08,0.0
22,-1.0039201977297126e-05,3.431715508192134e-06,-0.00012911953077293978,2.5628896499564735e-06,5.888755429934253e-06,3.1539693768249694e-05,9.565485406153376e-05,8.082433237057843e-08,0.0
23,-1.0369542249580754e-05,3.5101642458880176e-06,-0.00013187240675439706,2.6248113151865835e-06,6.037011825165389e-06,3.3540078092674784e-05,9.644523002384114e-05,8.465350122190687e-08,0.0
24,-1.070793147760299e-05,3.590653066794694e-06,-0.00013468827465578823,2.6878000003404174e-06,6.186866886454782e-06,3.558862534752023e-05,9.72537469281835e-05,8.851390409756796e-08,0.0
25,-1.1054495444074055e-05,3.673193220231374e-06,-0.00013756877377098044,2.7519371943334967e-06,6.338668975270056e-06,3.768618659774832e-05,9.808087695643599e-05,9.240627103527534e-08,0.0
26,-1.1409373686991238e-05,3.75780290362016e-06,-0.00014051554115584026,2.8173003408043608e-06,6.492712571159417e-06,3.983367605180933e-05,9.892709162502148e-05,9.633135041671983e-08,0.0
27,-1.1772718113619518e-05,3.84450574308237e-06,-0.00014353023786122307,2.883958759598047e-06,6.649259861833315e-06,4.203207234811801e-05,9.9792869352711e-05,1.0028990949982015e-07,0.0
28,-1.2144689768091566e-05,3.933329455619141e-06,-0.00014661454009602006,2.9519788400489506e-06,6.808546352690023e-06,4.428239957028025e-05,0.00010067869291095785,1.0428273451537993e-07,0.0
29,-1.252546073846393e-05,4.02430669086562e-06,-0.00014977014277525285,3.0214222079573715e-06,6.970776078564843e-06,4.6585737458163026e-05,0.00010158505044762099,1.0831063054491684e-07,0.0
30,-1.2915205619824865e-05,4.117469923784561e-06,-0.00015299878614876637,3.092351764361099e-06,7.136167024218619e-06,4.8943185465307e-05,0.00010251244316608784,1.1237442483209425e-07,0.0
31,-1.3314111514442112e-05,4.212857493209767e-06,-0.00015630222283602896,3.164824256397329e-06,7.30489712837049e-06,5.1355904691098795e-05,0.00010346137581847468,1.1647496292000113e-07,0.0
32,-1.3722378155092857e-05,4.310513631336514e-06,-0.00015968221884742775,3.2388896384220506e-06,7.4771046466356475e-06,5.382511897725098e-05,0.00010443235700003972,1.2061310883569043e-07,0.0
33,-1.4140216749608735e-05,4.410487783132885e-06,-0.00016314055684942645,3.3145921388607897e-06,7.652893998622473e-06,5.635210984219468e-05,0.00010542590009077562,1.247897454487189e-07,0.0
34,-1.456781313783517e-05,4.512811380505277e-06,-0.00016667918867239025,3.3920060453387358e-06,7.832547522698269e-06,5.8938063832776e-05,0.0001064425672381402,1.290057907668938e-07,0.0
35,-1.5005396294743948e-05,4.617540846004349e-06,-0.0001702999574827165,3.4711693782534822e-06,8.016134754477839e-06,6.15843573982333e-05,0.00010748288923227507,1.3326216821640725e-07,0.0
36,-1.545320017113239e-05,4.72473357261074e-06,-0.0001740047546157971,3.55212091328959e-06,8.203731159166533e-06,6.429239858233757e-05,0.00010854741073611857,1.3755982340648525e-07,0.0
37,-1.5911468594779818e-05,4.834450961605501e-06,-0.00017779550093295534,3.6348954811624234e-06,8.395390822571451e-06,6.706364763153976e-05,0.00010963668490872811,1.4189972212790424e-07,0.0
38,-1.6380402963206174e-05,4.946724267873217e-06,-0.00018167440080696173,3.719589884633931e-06,8.591460218097743e-06,6.989939986835817e-05,0.00011075134665730353,1.4628287390133642e-07,0.0
39,-1.686026781600388e-05,5.061623257796026e-06,-0.00018564343829087734,3.8062318410947405e-06,8.791948743354992e-06,7.280122465255276e-05,0.00011189196732715236,1.5071028493034425e-07,0.0
40,-1.7351319484613038e-05,5.179209705168392e-06,-0.00018970472087216094,3.894869028625581e-06,8.996955668548586e-06,7.577066912048924e-05,0.00011305915384380318,1.5518299013904822e-07,0.0
41,-1.7853821067574556e-05,5.299547218439002e-06,-0.00019386040520397646,3.985549669994868e-06,9.206579723604841e-06,7.880932032020945e-05,0.00011425352729193408,1.5970204736877818e-07,0.0
42,-1.836801403033762e-05,5.422689068464618e-06,-0.00019811263273309762,4.078309737305267e-06,9.421003045332077e-06,8.191867203157488e-05,0.00011547570429668437,1.6426858407400739e-07,0.0
43,-1.8894177132118488e-05,5.548703741877015e-06,-0.0002024636538206912,4.1731966839910845e-06,9.64031322182043e-06,8.510040067431389e-05,0.00011672633292735401,1.6888370345325847e-07,0.0
44,-1.9432583810694717e-05,5.677656417427315e-06,-0.00020691573936867916,4.270252301820734e-06,9.864632729191545e-06,8.835616604576798e-05,0.00011800606713225816,1.7354855290814066e-07,0.0
45,-1.9983513139846537e-05,5.809613491156549e-06,-0.0002114712110890892,4.369520009302429e-06,1.0094088372042194e-05,9.168766256083785e-05,0.0001193155754891683,1.782643064284047e-07,0.0
46,-2.0547258972815907e-05,5.944643550641743e-06,-0.00021613255570211397,4.4710898968151795e-06,1.0328815502459986e-05,9.509665940873188e-05,0.00012065557417219498,1.8303214408606e-07,0.0
47,-2.1124109880179577e-05,6.082814922366912e-06,-0.0002209021843668137,4.575003184340159e-06,1.0568952615520444e-05,9.858491272611367e-05,0.00012202675750104956,1.878532976025435e-07,0.0
48,-2.1714363662523674e-05,6.224197275973749e-06,-0.00022578261210035082,4.681323112454299e-06,1.0814647337510876e-05,0.0001021542292826151,0.00012342984973662448,1.9272901769600876e-07,0.0
