,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-4.8883641425044905e-06,2.3815073718319517e-06,-7.908138208991365e-05,6.045166344053396e-07,6.813547284502947e-07,2.275718588626823e-07,8.00718711720368e-05,2.9244668310797586e-09,0.0
1,-4.967105021617059e-06,2.359096322664617e-06,-8.104257584516384e-05,9.706470608599564e-07,1.2709641309320828e-06,7.87643620973232e-07,8.061546134933922e-05,5.8683820117919735e-09,0.0
2,-5.077913446509761e-06,2.353081695810151e-06,-8.299225730551902e-05,1.2119878202975047e-06,1.785730045119515e-06,1.554716543211456e-06,8.115582309633686e-05,8.8315512532839e-09,0.0
3,-5.212320676369762e-06,2.358857988427863e-06,-8.494220771019853e-05,1.3859515236699363e-06,2.2387003423943476e-06,2.4629649941616243e-06,8.169623962934585e-05,1.1813908568666805e-08,0.0
4,-5.365485167591554e-06,2.3737358106112257e-06,-8.69009540764375e-05,1.5213364506071028e-06,2.640208086679533e-06,3.4772562226133856e-06,8.223908717543311e-05,1.4815498084664575e-08,0.0
5,-5.5343533855468e-06,2.3959787290179243e-06,-8.887515204223008e-05,1.633686508923389e-06,2.998701580661165e-06,4.5770817958004325e-06,8.278622036989116e-05,1.783644348281701e-08,0.0
6,-5.716836451620885e-06,2.4243650271592565e-06,-9.087042909091253e-05,1.7319878090447155e-06,3.3213231541156e-06,5.74950536048023e-06,8.333920726777136e-05,2.0876923962246214e-08,0.0
7,-5.911491595164774e-06,2.458022662859693e-06,-9.289156766742095e-05,1.821291195112688e-06,3.6140398502743916e-06,6.986388005731582e-06,8.389938037513316e-05,2.393717347422132e-08,0.0
8,-6.11732357761211e-06,2.496325924178934e-06,-9.494263393664878e-05,1.9041536809656925e-06,3.881823852181205e-06,8.282764044997754e-06,8.44678725380159e-05,2.7017473921419647e-08,0.0
9,-6.3335814463822554e-06,2.538788201784282e-06,-9.702715569559054e-05,1.9821232249155893e-06,4.128857960691362e-06,9.63518307684971e-06,8.504566653070188e-05,3.0118147029958294e-08,0.0
10,-6.559653694367889e-06,2.584999193946146e-06,-9.914845170973784e-05,2.0565237226671668e-06,4.3587626367966295e-06,1.1040893462260845e-05,8.563368684505045e-05,3.323954338448815e-08,0.0
11,-6.795050096684536e-06,2.63462234218311e-06,-0.0001013094248287739,2.1283791520978137e-06,4.574590512564391e-06,1.2497758839362531e-05,8.623274202564745e-05,3.638205360314045e-08,0.0
12,-7.039385782854625e-06,2.687380896493773e-06,-0.00010351275152578864,2.1984969418118807e-06,4.778954124040224e-06,1.4004181747977669e-05,8.684357750638484e-05,3.9546091934854165e-08,0.0
13,-7.2923662015382415e-06,2.7430492243676857e-06,-0.00010576091914430695,2.267514295965131e-06,4.974084170401113e-06,1.555901956849719e-05,8.746688598803945e-05,4.273209857462759e-08,0.0
14,-7.553777235906201e-06,2.8014452646035676e-06,-0.00010805630855554863,2.3358654922837574e-06,5.161929361967238e-06,1.7161574660050584e-05,8.81033304755923e-05,4.594053695736805e-08,0.0
15,-7.823468549665066e-06,2.8624231509621187e-06,-0.00011040116398130954,2.403886535344087e-06,5.344156759980088e-06,1.8811458322319238e-05,8.875353586784884e-05,4.917189452022452e-08,0.0
16,-8.101357703493667e-06,2.925875762507486e-06,-0.0001127975773720178,2.47179606761063e-06,5.522135870123247e-06,2.050861608856077e-05,8.941808460450435e-05,5.242668220497007e-08,0.0
17,-8.387379759548003e-06,2.9917074283955707e-06,-0.00011524755498868812,2.5398782476684085e-06,5.697089037349179e-06,2.225301937942724e-05,9.009753522330027e-05,5.570543209544963e-08,0.0
18,-8.681542038744086e-06,3.0598615844551897e-06,-0.00011775300857997901,2.6082631065675492e-06,5.869972651595756e-06,2.4045024677399936e-05,9.079241990247358e-05,5.900869623108013e-08,0.0
19,-8.98383875222298e-06,3.130274438357247e-06,-0.00012031587126571732,2.677235688753297e-06,6.0417339118645496e-06,2.5884852177695968e-05,9.150327676061958e-05,6.233704064965215e-08,0.0
20,-9.294326812972134e-06,3.2029174900892637e-06,-0.00012293795104894066,2.7469283778663193e-06,6.213074543616158e-06,2.7773057370909655e-05,9.223060902187165e-05,6.56910575597211e-08,0.0
