,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-3.731057386114102e-06,1.8191032352878644e-06,-6.035089005717096e-05,4.395428064293153e-07,4.933369047192159e-07,1.5774746041613515e-07,6.117026551100314e-05,1.9515254293668663e-09,0.0
1,-3.7857389880084115e-06,1.800695906379512e-06,-6.180312042298254e-05,7.089110847115003e-07,9.238498406955798e-07,5.492864930997885e-07,6.160219943908894e-05,3.916647015656394e-09,0.0
2,-3.86298200591071e-06,1.7938877602397776e-06,-6.324524091665625e-05,8.868103045390227e-07,1.30248043252532e-06,1.0880503935671974e-06,6.203109880631642e-05,5.895225379216435e-09,0.0
3,-3.956732427920748e-06,1.7953950203338114e-06,-6.468540247253035e-05,1.0152290151244248e-06,1.6378435585103332e-06,1.7263811118166622e-06,6.245939899900786e-05,7.887195658003818e-09,0.0
4,-4.063604471435573e-06,1.8033356937652356e-06,-6.61296079360964e-05,1.1149342240684464e-06,1.9368040252368193e-06,2.4393523725837945e-06,6.288889352673457e-05,9.892565143101377e-09,0.0
5,-4.181450856143169e-06,1.8164914507436873e-06,-6.7582450336535e-05,1.1972609875839765e-06,2.204997636745865e-06,3.212285101554651e-06,6.332095462346755e-05,1.1911392582422792e-08,0.0
6,-4.308839037426141e-06,1.834028800437663e-06,-6.904765065797135e-05,1.268531393819476e-06,2.4471174680710907e-06,4.0361743225084885e-06,6.375669393144321e-05,1.3943779117565109e-08,0.0
7,-4.444719909924855e-06,1.855319420770659e-06,-7.052850295407859e-05,1.3326833054741155e-06,2.667229117900467e-06,4.904905659582208e-06,6.41970955062367e-05,1.5989854039294612e-08,0.0
8,-4.588334891458711e-06,1.8798935551125148e-06,-7.20278789595964e-05,1.3920260805589123e-06,2.8687863928332277e-06,5.814440853087635e-06,6.464301719225264e-05,1.804977721019223e-08,0.0
9,-4.7391316947453814e-06,1.9073962101954513e-06,-7.354828167255749e-05,1.4478521155061983e-06,3.054706422691689e-06,6.762128247824885e-06,6.50952066353368e-05,2.0123735747839824e-08,0.0
10,-4.896650307365517e-06,1.9375282165176192e-06,-7.509190660699704e-05,1.501182779810572e-06,3.227503862644796e-06,7.74581052752486e-06,6.555431958904559e-05,2.2211938819106007e-08,0.0
11,-5.06061270271652e-06,1.970089819218193e-06,-7.666068193655093e-05,1.5521543890802714e-06,3.3892451235798254e-06,8.764558781011016e-06,6.602093190781008e-05,2.4314618568049478e-08,0.0
12,-5.2307056639489146e-06,2.004861465871268e-06,-7.825660574859118e-05,1.60157502352577e-06,3.541857526814117e-06,9.816945055087969e-06,6.64956403246245e-05,2.643201661646826e-08,0.0
