,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-4.797738121622992e-06,2.3386457249611895e-06,-7.757241334193572e-05,5.705633314387906e-07,6.47711988130787e-07,2.2420012877121315e-07,7.858608926470306e-05,2.9410255536733916e-09,0.0
1,-4.874922559882406e-06,2.3178400737672484e-06,-7.945794142872427e-05,9.100145436046134e-07,1.20591541250868e-06,7.726260971816136e-07,7.9120566204502e-05,5.901657042511864e-09,0.0
2,-4.983072402081636e-06,2.312841367027692e-06,-8.133317642464246e-05,1.1313342095121508e-06,1.6912318400937222e-06,1.5198707534536886e-06,7.965208894707838e-05,8.881709558467857e-09,0.0
3,-5.113860484773815e-06,2.319133758245454e-06,-8.320930063319254e-05,1.290313209538623e-06,2.116530647965132e-06,2.4014575098003247e-06,8.018384486866272e-05,1.1881123754115617e-08,0.0
4,-5.262614761920628e-06,2.334129003273213e-06,-8.50943205655563e-05,1.414009348039409e-06,2.4919690785333045e-06,3.383811919840722e-06,8.071811602833048e-05,1.4899949459800829e-08,0.0
5,-5.426404846674548e-06,2.356166869282725e-06,-8.699442755193727e-05,1.516699650471352e-06,2.8258199175950917e-06,4.447540627893047e-06,8.125666701826906e-05,1.7938315100515917e-08,0.0
6,-5.603217977686268e-06,2.3840753616237123e-06,-8.891487883884283e-05,1.6065640140879158e-06,3.125075721235663e-06,5.580389186089451e-06,8.180099613012778e-05,2.09964033645709e-08,0.0
7,-5.791654654123254e-06,2.417013431024168e-06,-9.086015981116244e-05,1.6881652179072457e-06,3.3955780739431755e-06,6.774601697345306e-06,8.235238159490429e-05,2.4074450161493166e-08,0.0
8,-5.99074090037578e-06,2.4543741585898558e-06,-9.283407755327645e-05,1.7638083972219614e-06,3.6421738529679177e-06,8.02538104911624e-06,8.291190825716664e-05,2.717273858960406e-08,0.0
9,-6.1997322398365575e-06,2.4956826340571794e-06,-9.483989127395272e-05,1.8349100729422893e-06,3.868919904346559e-06,9.329314552922277e-06,8.34805047586088e-05,3.02915909121647e-08,0.0
10,-6.4180304682632835e-06,2.540540733102179e-06,-9.688074432271889e-05,1.9026556716958118e-06,4.079338487658513e-06,1.0683741853158388e-05,8.405906668906767e-05,3.343135629960693e-08,0.0
11,-6.645163608551844e-06,2.5886289925384718e-06,-9.89592865055359e-05,1.967875564728107e-06,4.2763501362009855e-06,1.2086654075430476e-05,8.464834892106898e-05,3.659242412074588e-08,0.0
12,-6.880745256276589e-06,2.6396777994462656e-06,-0.00010107794338980645,2.0313570684646732e-06,4.46243438254409e-06,1.3536401801130913e-05,8.524904238527369e-05,3.977520922340732e-08,0.0
13,-7.124473930510608e-06,2.6934637840498157e-06,-0.00010323902050518622,2.0937326192602786e-06,4.6397414867583255e-06,1.503177262260536e-05,8.58618037782823e-05,4.298014474073457e-08,0.0
14,-7.37613695448191e-06,2.7498118350996845e-06,-0.0001054447009610646,2.1554024087830303e-06,4.810112137017337e-06,1.6572048969007546e-05,8.648725487350392e-05,4.6207692134984104e-08,0.0
15,-7.635569303521013e-06,2.8085741596631993e-06,-0.00010769705700724587,2.2167227240575493e-06,4.975158425024508e-06,1.8156726844478895e-05,8.71259858248098e-05,4.945833273292727e-08,0.0
16,-7.902698983328257e-06,2.869654183221145e-06,-0.00010999801159311494,2.277849376120387e-06,5.136136567846525e-06,1.9785793671845535e-05,8.77785442045763e-05,5.2732572833298065e-08,0.0
17,-8.177433640698944e-06,2.9329476921452713e-06,-0.00011234940702635662,2.3391084739042148e-06,5.294259700743728e-06,2.145903928292419e-05,8.84454545822084e-05,5.603093512977353e-08,0.0
18,-8.459796853827255e-06,2.9984127247575566e-06,-0.0001147529495507959,2.4005477843843893e-06,5.450338022720176e-06,2.3176891186985742e-05,8.912720271778924e-05,5.9353967986049996e-08,0.0
19,-8.74975799532487e-06,3.065975518338661e-06,-0.00011721049455048857,2.462489939197937e-06,5.605348482810534e-06,2.4939419505775027e-05,8.982431687373897e-05,6.270222595229238e-08,0.0
20,-9.047382418056548e-06,3.1356173413592553e-06,-0.00011972367389683745,2.5250350296441278e-06,5.7598705504051865e-06,2.674719552676938e-05,9.053726157472144e-05,6.607629199459593e-08,0.0
21,-9.352700262399651e-06,3.2073012381728805e-06,-0.00012229413907396573,2.588351603217826e-06,5.9146018691438685e-06,2.8600600942293568e-05,9.12665069157424e-05,6.947676779483392e-08,0.0
22,-9.665800153293703e-06,3.2810215004921313e-06,-0.00012492347791567376,2.652565958388936e-06,6.069993346509671e-06,3.0500288160271885e-05,9.201250483117492e-05,7.290427212988959e-08,0.0
23,-9.98676346015268e-06,3.3567654945474456e-06,-0.00012761338293740412,2.7177980217559714e-06,6.226584496548494e-06,3.244690186925361e-05,9.277573708232613e-05,7.635943312512251e-08,0.0
24,-1.0315704143218053e-05,3.434540064432502e-06,-0.00013036544562975864,2.7841506179141483e-06,6.384738731839127e-06,3.4441220845884966e-05,9.355665661050297e-05,7.984290240297616e-08,0.0
25,-1.0652740277438954e-05,3.514351059584694e-06,-0.00013318135436508107,2.8517154458553345e-06,6.544860958974557e-06,3.648406787654195e-05,9.435574395283804e-05,8.33553487254308e-08,0.0
26,-1.0998012714178816e-05,3.5962171819789456e-06,-0.00013606275103076755,2.920569134347272e-06,6.707247571030723e-06,3.857636602127291e-05,9.517346637914734e-05,8.689745716916515e-08,0.0
27,-1.1351665390312216e-05,3.680156951185666e-06,-0.0001390113322763539,2.9907943444538606e-06,6.872209608263534e-06,4.071906008323508e-05,9.601030674819791e-05,9.046993133003709e-08,0.0
28,-1.1713862196364618e-05,3.7661990767609597e-06,-0.00014202878798346533,3.062453529757863e-06,7.039984771415732e-06,4.291319333883866e-05,9.686674597109149e-05,9.407349196523554e-08,0.0
29,-1.2084767691208729e-05,3.854371466417551e-06,-0.00014511684409402166,3.135620683160134e-06,7.210822258968833e-06,4.515981328116119e-05,9.774327521711151e-05,9.77088784111678e-08,0.0
30,-1.2464563133618271e-05,3.944710016006284e-06,-0.00014827723803384976,3.2103547447092156e-06,7.3849183226958e-06,4.746005232679113e-05,9.864038890952738e-05,1.0137684773819663e-07,0.0
31,-1.285342660944798e-05,4.037247148172351e-06,-0.00015151176712007453,3.2867249855453928e-06,7.562509457974743e-06,4.981503544002721e-05,9.955859851863878e-05,1.0507817916403523e-07,0.0
32,-1.3251555162226215e-05,4.132024995382051e-06,-0.00015482222133589662,3.3647872784958516e-06,7.74375926228424e-06,5.2225977887334255e-05,0.00010049841340756048,1.0881366706595349e-07,0.0
33,-1.3659154662750945e-05,4.229089321320008e-06,-0.00015821041549990083,3.444594484490958e-06,7.928811208287463e-06,5.469414102620989e-05,0.00010146034999794588,1.1258412439758184e-07,0.0
34,-1.4076439060183939e-05,4.328488889393791e-06,-0.00016167819742553047,3.5261973171537794e-06,8.117795637669183e-06,5.7220830163203376e-05,0.00010244493409478295,1.1639038351137147e-07,0.0
35,-1.4503600441779273e-05,4.430256083822527e-06,-0.0001652275878729546,3.6096757904346804e-06,8.311009735959835e-06,5.9807272631748745e-05,0.00010345274076209169,1.202333106764179e-07,0.0
36,-1.494087896750711e-05,4.534452033369257e-06,-0.00016886045814410404,3.695065838477299e-06,8.508499551112708e-06,6.245490345437923e-05,0.00010448430246166053,1.241137726121504e-07,0.0
37,-1.5388512901507353e-05,4.641134297481579e-06,-0.00017257876275262481,3.7824117847188874e-06,8.710359878656763e-06,6.516516168618427e-05,0.00010554017534646216,1.2803266062849787e-07,0.0
38,-1.584674805320707e-05,4.75036281818466e-06,-0.00017638450033638595,3.8717577249832785e-06,8.91667963632522e-06,6.793952919995555e-05,0.00010662092812384199,1.3199088630234297e-07,0.0
39,-1.6315796031650815e-05,4.862171831828105e-06,-0.0001802799427031164,3.963204735487497e-06,9.127804923931062e-06,7.077936052217907e-05,0.00010772720731884152,1.359894024999992e-07,0.0
40,-1.6795928521552727e-05,4.976633102602783e-06,-0.00018426712389612614,4.056782503727278e-06,9.343747990860579e-06,7.36862679736742e-05,0.00010885959169043156,1.400291563825136e-07,0.0
41,-1.72874075823137e-05,5.093809065752434e-06,-0.00018834822132133148,4.1525446764277266e-06,9.564625829824761e-06,7.666183737884136e-05,0.00011001870082839186,1.4411112440702377e-07,0.0
42,-1.7790501960968353e-05,5.2137640824701904e-06,-0.0001925254573910176,4.250544091281747e-06,9.790553712131059e-06,7.97076940348848e-05,0.00011120516712496086,1.4823630625726675e-07,0.0
43,-1.8305462654068483e-05,5.336553744247527e-06,-0.00019680105116471502,4.3508225054743475e-06,1.0021720753761454e-05,8.282538909980605e-05,0.00011241962194751275,1.524057679813953e-07,0.0
44,-1.883257534139526e-05,5.462247735675851e-06,-0.00020117732482015233,4.453432618191115e-06,1.0258229263294614e-05,8.601664391592686e-05,0.00011366272607798681,1.5662055047240025e-07,0.0
45,-1.937212152684031e-05,5.590912843296188e-06,-0.00020565662624832658,4.558421740863401e-06,1.0500214622042295e-05,8.928316924988556e-05,0.00011493514758121228,1.6088173786718187e-07,0.0
46,-1.992438847057469e-05,5.722617144498242e-06,-0.00021024135372434325,4.6658376400503184e-06,1.0747816510650193e-05,9.262671160534438e-05,0.00011623756885404033,1.6519044033447986e-07,0.0
47,-2.0489679144995568e-05,5.857430983270746e-06,-0.00021493408295351814,4.775779460972716e-06,1.1001184400888563e-05,9.604909662233978e-05,0.00011757072285806902,1.695477729729151e-07,0.0
48,-2.106829115340472e-05,5.995424621563998e-06,-0.0002197373070243346,4.888292649228764e-06,1.1260469501227913e-05,9.955213755121468e-05,0.00011893531895322032,1.7395490128367362e-07,0.0
49,-2.1660531933749482e-05,6.136669777129528e-06,-0.00022465362890441217,5.00344625117148e-06,1.1525832539026907e-05,0.00010313770146521313,0.0001203320977968083,1.784130088122939e-07,0.0
50,-2.226671515324862e-05,6.2812392599875645e-06,-0.00022968571575596422,5.1213138065888386e-06,1.1797442260861136e-05,0.00010680769396262521,0.00012176181831318311,1.8292330596697998e-07,0.0
51,-2.288718344303778e-05,6.429218318165407e-06,-0.00023483629962068624,5.241940053398531e-06,1.2075401258603132e-05,0.00011056417851483584,0.00012322525787114962,1.8748704757147778e-07,0.0
52,-2.3522262756237046e-05,6.58068166121887e-06,-0.00024010818235642773,5.365409208629247e-06,1.2359897630600781e-05,0.00011440913738827657,0.00012472321372500913,1.9210549893015668e-07,0.0
53,-2.4172295532426668e-05,6.735710041314229e-06,-0.0002455042356735385,5.49179617916828e-06,1.2651096359974165e-05,0.00011834464566504734,0.00012625650299922663,1.9677996123452697e-07,0.0
54,-2.4837632692551504e-05,6.894386168886121e-06,-0.0002510274037312175,5.621178931652655e-06,1.2949166668336141e-05,0.0001223728294550064,0.0001278259634339186,2.0151176596908402e-07,0.0
55,-2.551863912143622e-05,7.056798680551984e-06,-0.0002566806641984706,5.753607190775966e-06,1.3254253851090493e-05,0.0001264958990366416,0.00012943244228189838,2.0630227894837638e-07,0.0
56,-2.621568362860426e-05,7.223034538501389e-06,-0.00026246711018556256,5.889163832404927e-06,1.356653470308026e-05,0.00013071608817856312,0.00013107681966740404,2.111528942130462e-07,0.0
57,-2.6929146446367507e-05,7.3931845006439635e-06,-0.00026838989560930315,6.027921544995086e-06,1.3886178499239094e-05,0.00013503569946331963,0.00013275999300808893,2.1606503938385053e-07,0.0
58,-2.7659417819476544e-05,7.567341951180031e-06,-0.0002744522499300946,6.16995269176509e-06,1.421335595063989e-05,0.000139457095765022,0.00013448288121576874,2.210401751954249e-07,0.0
59,-2.8406887869931994e-05,7.745599358837005e-06,-0.00028065742971597,6.315336667367988e-06,1.45482496737526e-05,0.0001439826411998714,0.00013624641088325125,2.2607980282177508e-07,0.0
60,-2.917196647339061e-05,7.928055167280072e-06,-0.0002870088153910859,6.464145835909097e-06,1.4891034442804071e-05,0.00014861481709438432,0.0001380515438722776,2.3118545182124057e-07,0.0
61,-2.9955070377624833e-05,8.114809316617472e-06,-0.0002935098489452819,6.6164546107929715e-06,1.5241890226944889e-05,0.0001533561469296949,0.00013989925954956237,2.3635868929407156e-07,0.0
62,-3.075662581204617e-05,8.305964141202443e-06,-0.0003001640468523351,6.772337590922504e-06,1.5600999723649984e-05,0.00015820921162008076,0.00014179055846951684,2.4160111900879165e-07,0.0
63,-3.157706410911683e-05,8.50162130669697e-06,-0.00030697502780243935,6.9318948181240794e-06,1.596856890625117e-05,0.00016317662222068,0.0001437264702733169,2.469143864870502e-07,0.0
64,-3.241683067622235e-05,8.701887724955533e-06,-0.00031394646734170993,7.095204834255297e-06,1.6344788882127623e-05,0.0001682610756377256,0.00014570804076748006,2.5230017138808936e-07,0.0
65,-3.3276379608045394e-05,8.906871914448718e-06,-0.0003210821278940647,7.262353923178002e-06,1.672985981273661e-05,0.00017346532118369713,0.00014773634047459108,2.577601934585354e-07,0.0
66,-3.4156174489649275e-05,9.116684479833626e-06,-0.0003283858562840074,7.433432507696122e-06,1.7123988077356485e-05,0.0001787921655692847,0.00014981246392685183,2.6329621263394106e-07,0.0
67,-3.5056695983882876e-05,9.331439975941135e-06,-0.0003358616449927919,7.608534528198178e-06,1.752738970795889e-05,0.0001842445196102639,0.00015193754711730303,2.6891003700966556e-07,0.0
68,-3.5978429106487587e-05,9.551253909661043e-06,-0.00034351352536149946,7.787756825211166e-06,1.794028320415843e-05,0.00018982531994630244,0.00015411273707213087,2.7460351052312565e-07,0.0
69,-3.6921870697773125e-05,9.776244470916891e-06,-0.00035134563123267646,7.971199829572308e-06,1.836289410523547e-05,0.00019553757502200386,0.00015633920998143143,2.803785212896234e-07,0.0
70,-3.788752920931306e-05,1.000653246417745e-05,-0.00035936219773852516,8.158967755052056e-06,1.879545508849209e-05,0.00020138436378504062,0.00015861817085299654,2.862370020794211e-07,0.0
71,-3.887593288229295e-05,1.0242244496008635e-05,-0.00036756758992139067,8.351154360745279e-06,1.9238195750118668e-05,0.00020736888559707282,0.0001609508616635148,2.921809362233824e-07,0.0
