,H2,H,O2,OH,O,H2O,HO2,H2O2,N2
0,-6.408337628522244e-06,3.1196257652223143e-06,-0.00010367589996582867,8.272994374108867e-07,9.371457164933269e-07,3.287415972291066e-07,0.00010486701730991495,4.407768080316822e-09,0.0
1,-6.521815037266818e-06,3.0929860313198686e-06,-0.00010632266777030901,1.3214125435056285e-06,1.7402593210726598e-06,1.1301706187771412e-06,0.0001055508108671908,8.84342570972612e-09,0.0
2,-6.68094795841064e-06,3.089560882988432e-06,-0.00010895715546798242,1.6453333420435534e-06,2.435384131071132e-06,2.22313667896551e-06,0.00010623138168353153,1.3306707792890243e-08,0.0
3,-6.873708696090794e-06,3.1028016419108773e-06,-0.0001115963407276428,1.8785384223496206e-06,3.0423863688837954e-06,3.5153808372651235e-06,0.0001069131445883621,1.779756496206877e-08,0.0
4,-7.093199048339605e-06,3.128873311139697e-06,-0.00011425247343264476,2.060645862293875e-06,3.5768745410030483e-06,4.957677805180895e-06,0.00010759928484564589,2.2316115720968537e-08,0.0
5,-7.3349990149818095e-06,3.1652547671451915e-06,-0.00011693542988046,2.213354479475162e-06,4.051720846382163e-06,6.5208658254359845e-06,0.00010829237038755653,2.686258944676528e-08,0.0
6,-7.596260854394883e-06,3.2102653492858787e-06,-0.00011965336159689808,2.3479504416450943e-06,4.477489052576233e-06,8.18795975155173e-06,0.00010899452054080329,3.143731543073739e-08,0.0
7,-7.875013619701058e-06,3.262704170843474e-06,-0.0001224131066460816,2.4706759864560254e-06,4.862899553153903e-06,9.948286850099243e-06,0.00010970751299827809,3.60407069518711e-08,0.0
8,-8.169849437689983e-06,3.321686643355887e-06,-0.0001252203996217583,2.5849622557517115e-06,5.215141755134151e-06,1.1794946719250216e-05,0.00011043283843378795,4.067325216834498e-08,0.0
9,-8.47971007677986e-06,3.3865151587869235e-06,-0.00012808058912001658,2.6931015227500976e-06,5.540336866411884e-06,1.3723123064356413e-05,0.0001111718870951679,4.5335489323212555e-08,0.0
10,-8.803751744422725e-06,3.456622000000416e-06,-0.00013099830405361563,2.7968829846678096e-06,5.8435881555693296e-06,1.5729072616518272e-05,0.00011192586201867229,5.002802261022591e-08,0.0
11,-9.141312728658996e-06,3.531542405340507e-06,-0.00013397779509709441,2.897761137530691e-06,6.1292216729039175e-06,1.7809963270947584e-05,0.00011269586784180171,5.4751497228987093e-08,0.0
12,-9.491900836600577e-06,3.6109057235389405e-06,-0.0001370230160891213,2.996810710000437e-06,6.4009029537650995e-06,1.9963858968233793e-05,0.00011348293196836333,5.9506601820273807e-08,0.0
13,-9.855158058680081e-06,3.69441510880596e-06,-0.00014013770774259863,3.094801826206646e-06,6.6617888320282685e-06,2.2189539629718826e-05,0.00011428802633796579,6.429406655320163e-08,0.0
14,-1.0230873176440483e-05,3.7818554748762727e-06,-0.00014332534526227854,3.1921929106057963e-06,6.9144513667945334e-06,2.4486550218471617e-05,0.00011511205380463564,6.91146633351433e-08,0.0
15,-1.0618861471001021e-05,3.873030946546814e-06,-0.00014658921461605315,3.289568278753793e-06,7.161192113462654e-06,2.685444757241035e-05,0.00011595586797714943,7.396919873110285e-08,0.0
16,-1.1019108318717642e-05,3.967838301572404e-06,-0.00014993236034568078,3.387111225547908e-06,7.403690903515593e-06,2.9293710071775564e-05,0.000116820259640883,7.885852110399112e-08,0.0
17,-1.143155850720385e-05,4.066149395618487e-06,-0.00015335797389303812,3.4853669447579273e-06,7.643700807143661e-06,3.180447399616183e-05,0.00011770605775838927,8.378349817077019e-08,0.0
18,-1.1856283260445035e-05,4.167908986486918e-06,-0.00015686893929045325,3.5845698708891124e-06,7.882446942313918e-06,3.438754040090569e-05,0.00011861401130722276,8.87450430798807e-08,0.0
19,-1.2293340736214935e-05,4.273056086059263e-06,-0.00016046811557964894,3.685046960882143e-06,8.121148746367614e-06,3.7043597689642954e-05,0.00011954486273066911,9.374410224279969e-08,0.0
20,-1.2742859099851235e-05,4.38156504131651e-06,-0.00016415835128269677,3.7870462071248805e-06,8.360779115455965e-06,3.977368666265857e-05,0.00012049935170850383,9.878164748825082e-08,0.0
21,-1.3204989709064258e-05,4.493421662105172e-06,-0.00016794249915145162,3.890799842222333e-06,8.602228712331695e-06,4.2578960975536184e-05,0.000121478218989542,1.0385867877847116e-07,0.0
22,-1.3679917574230022e-05,4.60862784324595e-06,-0.00017182343546898898,3.996503381582625e-06,8.846285146320977e-06,4.54607490373516e-05,0.00012248221140273894,1.0897623197887888e-07,0.0
23,-1.416786352361082e-05,4.727204040921786e-06,-0.00017580401580548287,4.1043245259651345e-06,9.093595374664545e-06,4.842054965645701e-05,0.00012351207035892509,1.1413537216016025e-07,0.0
24,-1.4669064356981617e-05,4.849176800593674e-06,-0.00017988715593025877,4.214426469537309e-06,9.344778876532812e-06,5.1459948056492086e-05,0.0001245685528879181,1.1933719616642503e-07,0.0
25,-1.5183788530393686e-05,4.974588345293812e-06,-0.00018407577638953167,4.326946510651149e-06,9.600344388331112e-06,5.4580685616197085e-05,0.000125652417227545,1.2458283190720288e-07,0.0
